"","Df","SumOfSqs","F","Pr(>F)"
"FarmType",1,3.22207468250533,9.02137156030298,0.001
"Block",1,0.400091754103061,1.12020257990128,0.044
"N",1,1.34807375220458,3.77442344069851,0.515
"P",1,2.05713695753815,5.75970412639625,0.003
"pH",1,3.54417405235731,9.92320605549685,0.03
"TOC",1,1.15547877652742,3.23518366277994,0.325
"dbmemDF$MEM1",1,2.41642018286369,6.76564836742965,0.69
"dbmemDF$MEM2",1,2.31037012295483,6.46872260105161,0.714
"dbmemDF$MEM3",1,2.07907961668653,5.82114059224648,0.046
"dbmemDF$MEM4",1,1.81795383547842,5.09002386517515,0.006
"dbmemDF$MEM5",1,2.21505959613068,6.20186606890558,0.298
"dbmemDF$MEM6",1,1.41361055980652,3.95791760222847,0.369
"FarmType:Block",1,0.460481171028597,1.28928474654173,0.014
"Residual",202,72.1463561849145,NA,NA
