"OTU","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","z","variable","Phylum","Class","Order","Family","Genus","Species","Taxon","Taxon.Level","Trophic.Mode","Guild","Confidence.Ranking","Growth.Morphology","Trait","Notes","Citation.Source"
"OTU821",0.022,0.04625,19,1,12.67,0.008,3.38,0.022,0.0224,0.041,0.047,0.047,0.984,0.976,3.88446150696248,1,"z-","N","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU574",0.028125,0.028,39,2,22.79,0.008,4.25,0.028,0.028,0.0345,0.048,0.05475,0.998,0.996,5.04642128301966,2,"z+","N","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU340",0.07425,0.039,20,2,14.19,0.008,4.57,0.0325,0.033,0.0405,0.07425,0.0745,0.998,0.98,5.6770824103106,2,"z+","N","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus etunicatum","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU1359",0.02525,0.027,7,1,10.63,0.004,6.7,0.023,0.025,0.02575,0.028,0.034025,0.998,0.974,7.87000370513465,1,"z-","N","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus claroideum","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU793",0.047,0.047,8,2,13.06,0.004,6.9,0.04575,0.046,0.047,0.0531375,0.05375625,1,0.996,7.61636763478768,2,"z+","N","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus luteum","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU2417",0.022,0.022,5,1,39.02,0.004,7.07,0.021,0.022,0.0245,0.028,0.028,0.998,0.956,8.44555720406034,1,"z-","N","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU419",0.026,0.026,13,1,18.13,0.004,7.29,0.023,0.024,0.026,0.033,0.0335,1,1,7.09842199127996,1,"z-","N","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1418",0.0761,0.0562,10,2,19.08,0.004,7.36,0.0547375,0.05525,0.0626,0.0714,0.0756,0.982,0.964,9.35707105195365,2,"z+","N","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU991",0.046,0.045,23,2,19.39,0.004,7.63,0.02975,0.0385,0.045,0.046,0.0465,0.97,0.996,7.22409019952656,2,"z+","N","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1192",0.0682,0.06,12,2,25.39,0.004,7.91,0.055,0.055225,0.0642,0.0702,0.0756,0.986,0.984,10.1917759345808,2,"z+","N","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
