"Key","Year","Site","Block","Point","SampleCode","Code","BlockType","RSFalconTube","BSFalconTube","FarmSite","Date","Initials","ArrivalTime","DepartureTime","ATTemp","DTTemp","PlantID","PlantHeight","TotalFlower","Buds","ImmatureFruit","MatureFruit","LeafNo","RSNitrateRead","RSNitriteRead","BSNitrateRead","BSNitriteRead","RSTinWeight","BSTinWeight","RSWetWeight","BSWetWeight","RSDryWeight","BSDryWeight","BD","FarmKey","orgFarmCode","FarmType","FocalCrop","soilOrder","soilSeries","soilType","Long","Lat","firstPolyYear","conversionYrs","MonoYears","PolyYears","FallowYears","MonoProp","PolyProp","FallowProp","pH","P","K","Ca","Mg","Zn","B","Mn","Cu","Pb","Al","Na","S","CEC","OM","Presence","Absence"
1,2017,"BE","F1","1","BE_F1_1","2017_BE_F1_1","F","10.115","9.997","BE","10/14/17","CD","","","74.5","","EGGPLANT","68","3","2","5","0","103","0.5","0","0.5","0","0.443","0.489","9.949","9.91","","",1.45,"BE","BE","Polyculture","Eggplant","alifisol","san joaquin","loam",-119.612459,36.7401971,"2005","12",2,13,13,0.133,0.867,0,8.19,19.77982955,75.19886364,1637.975852,446.6264205,0.736008523,0.373441051,5.891335227,0.087148438,0.357901278,2.646807528,61.66548295,29.87215909,12.04307602,0.987822533,"",""
2,2017,"BE","F1","2","BE_F1_2","2017_BE_F1_2","F","10.339","10.002","BE","10/14/17","CD","","","74.5","","EGGPLANT","84","2","2","2","4","98","0.5","0","0","0","0.49","0.49","10.212","10.036","","",1.45,"BE","BE","Polyculture","Eggplant","alifisol","san joaquin","loam",-119.612459,36.7401971,"2005","12",2,13,13,0.133,0.867,0,8.11,16.93667158,109.8527246,1410.430781,500.9499264,1.543405744,0.306244477,8.100147275,0.105452872,0.384127393,1.894484536,112.05081,41.10824742,11.4392541,1.146799401,"3","97"
3,2017,"BE","F1","3","BE_F1_3","2017_BE_F1_3","F","10.278","10.114","BE","10/14/17","CD","","","74.5","","EGGPLANT","77","2","4","8","6","183","20","0.3","10","0.15","0.477","0.493","10.189","10.193","","",1.45,"BE","BE","Polyculture","Eggplant","alifisol","san joaquin","loam",-119.612459,36.7401971,"2005","12",2,13,13,0.133,0.867,0,7.87,38.74644886,133.8636364,1591.981534,481.0973011,1.160330256,0.637365057,5.3125,0.133114347,0.367872869,2.044179688,60.87002841,66.86434659,12.24569041,1.078128161,"2","98"
4,2017,"BE","F2","1","BE_F2_1","2017_BE_F2_1","F","10.288","10.107","BE","10/14/17","CD","","","74.5","","EGGPLANT","62","0","3","1","1","133","2","0","0.5","0","0.48","0.489","10.178","10.012","","",1.45,"BE","BE","Polyculture","Eggplant","alifisol","san joaquin","loam",-119.612459,36.7401971,"2005","12",2,13,13,0.133,0.867,0,8.17,16.42964072,146.3622754,1548.166168,517.4550898,1.285943114,0.318761228,8.970808383,0.119232784,0.413832335,2.435437874,147.6983533,71.32859281,12.35659407,1.338068757,"3","97"
5,2017,"BE","F2","2","BE_F2_2","2017_BE_F2_2","F","10.149","10.052","BE","10/14/17","CD","","","74.5","","EGGPLANT","50","0","2","0","2","68","0.5","0","0.5","0","0.493","0.489","10.125","10.134","","",1.45,"BE","BE","Polyculture","Eggplant","alifisol","san joaquin","loam",-119.612459,36.7401971,"2005","12",2,13,13,0.133,0.867,0,8.22,27.01421801,135.1698262,1970.517378,571.8759874,1.264838073,0.500908373,10.11848341,0.224877567,0.460916272,3.413755924,151.3112164,80.6042654,14.88579786,1.231458158,"8","92"
6,2017,"BE","F2","3","BE_F2_3","2017_BE_F2_3","F","10.451","9.989","BE","10/14/17","CD","","","74.5","","EGGPLANT","73","0","0","1","5","124","2","0","0.5","0","0.484","0.487","10.062","10.062","","",1.45,"BE","BE","Polyculture","Eggplant","alifisol","san joaquin","loam",-119.612459,36.7401971,"2005","12",2,13,13,0.133,0.867,0,8.11,20.05094614,113.1222707,1688.693595,485.5531295,1.277088792,0.389334061,8.304221252,0.120054585,0.413020378,1.852569141,96.56841339,36.64847162,12.71272693,1.141525041,"13","87"
7,2017,"BE","N1","1","BE_N1_1","2017_BE_N1_1","N","10.46","9.935","BE","10/14/17","CD","","","74.5","","EGGPLANT","87","2","5","31","0","440","0","0","0.5","0","0.497","0.494","10.361","10.171","","",1.455,"BE","BE","Polyculture","Eggplant","alifisol","san joaquin","loam",-119.612459,36.7401971,"2005","12",2,13,13,0.133,0.867,0,8.24,15.13437058,60.60113154,1470.367751,421.2128713,1.090830976,0.321980198,5.007072136,0.102507072,0.36427157,1.809239745,66.49929279,24.92220651,10.95939338,0.914422744,"20","80"
8,2017,"BE","N1","2","BE_N1_2","2017_BE_N1_2","N","10.459","10.013","BE","10/14/17","CD","","","74.5","","BITTERMELON","128","10","41","0","1","277","2","0","0.5","0","0.497","0.49","10.348","10.054","","",1.455,"BE","BE","Polyculture","Eggplant","alifisol","san joaquin","loam",-119.612459,36.7401971,"2005","12",2,13,13,0.133,0.867,0,8.29,24.26127527,135.7542768,1812.978227,455.3693624,1.262317263,0.586349145,6.111975117,0.154634526,0.441679627,2.111815708,73.07931571,37.97433904,13.14462453,1.062438976,"4","23"
9,2017,"BE","N1","3","BE_N1_3","2017_BE_N1_3","N","10.268","10.068","BE","10/14/17","CD","","","74.5","","EGGPLANT","141","32","41","14","84","152","0","0","0","0","0.479","0.487","10.074","9.95","","",1.455,"BE","BE","Polyculture","Eggplant","alifisol","san joaquin","loam",-119.612459,36.7401971,"2005","12",2,13,13,0.133,0.867,0,8.24,19.55521472,60.46779141,1740.272239,412.5805215,1.04211273,0.439355828,5.164877301,0.097185583,0.430007669,2.122361963,58.25920245,25.08435583,12.23781783,1.086362714,"8","92"
10,2017,"BE","N2","1","BE_N2_1","2017_BE_N2_1","N","10.411","10.073","BE","10/14/17","CD","","","74.5","","BITTERMELON","128","4","28","4","5","217","5","0","2","0","0.478","0.486","10.123","10.165","","",1.455,"BE","BE","Polyculture","Eggplant","alifisol","san joaquin","loam",-119.612459,36.7401971,"2005","12",2,13,13,0.133,0.867,0,8.09,27.61707989,141.9628099,1739.452479,415.3787879,1.192982094,0.498367769,4.779614325,0.121384298,0.427823691,1.898092287,39.72107438,19.96900826,12.4650828,1.046750022,"",""
