"OTU163","OTU169","OTU222","OTU224","OTU242","OTU284","OTU294","OTU299","OTU340","OTU419","OTU422","OTU425","OTU447","OTU461","OTU477","OTU514","OTU555","OTU574","OTU605","OTU606","OTU608","OTU615","OTU617","OTU642","OTU644","OTU679","OTU687","OTU708","OTU709","OTU714","OTU730","OTU751","OTU759","OTU776","OTU786","OTU789","OTU793","OTU817","OTU820","OTU821","OTU848","OTU857","OTU862","OTU877","OTU898","OTU907","OTU932","OTU934","OTU943","OTU946","OTU948","OTU961","OTU991","OTU995","OTU998","OTU1004","OTU1013","OTU1037","OTU1041","OTU1049","OTU1051","OTU1054","OTU1055","OTU1067","OTU1078","OTU1084","OTU1092","OTU1131","OTU1132","OTU1153","OTU1157","OTU1178","OTU1192","OTU1221","OTU1222","OTU1237","OTU1241","OTU1269","OTU1297","OTU1301","OTU1306","OTU1307","OTU1356","OTU1359","OTU1372","OTU1375","OTU1387","OTU1405","OTU1418","OTU1419","OTU1441","OTU1451","OTU1455","OTU1457","OTU1464","OTU1474","OTU1485","OTU1487","OTU1493","OTU1504","OTU1513","OTU1523","OTU1527","OTU1528","OTU1548","OTU1549","OTU1569","OTU1578","OTU1595","OTU1596","OTU1610","OTU1683","OTU1684","OTU1699","OTU1702","OTU1728","OTU1737","OTU1744","OTU1770","OTU1786","OTU1795","OTU1804","OTU1810","OTU1827","OTU1906","OTU1908","OTU1911","OTU1918","OTU1937","OTU1945","OTU1954","OTU1972","OTU2000","OTU2002","OTU2009","OTU2017","OTU2038","OTU2051","OTU2086","OTU2087","OTU2088","OTU2089","OTU2101","OTU2107","OTU2112","OTU2114","OTU2123","OTU2127","OTU2141","OTU2149","OTU2152","OTU2158","OTU2176","OTU2196","OTU2209","OTU2212","OTU2235","OTU2238","OTU2288","OTU2302","OTU2306","OTU2310","OTU2317","OTU2345","OTU2348","OTU2365","OTU2400","OTU2401","OTU2402","OTU2416","OTU2417","OTU2447","OTU2456","OTU2460","OTU2468","OTU2470","OTU2482","OTU2487","OTU2517","OTU2522","OTU2527","OTU2545","OTU2552","OTU2561","OTU2566","OTU2569","OTU2617","OTU2652","OTU2677","OTU2713","OTU2714","OTU2716","OTU2717","OTU2736","OTU2740","OTU2760","OTU2784","OTU2792","OTU2801","OTU2841","OTU2878","OTU2891","OTU2905","OTU2907","OTU2913","OTU2916","OTU2932","OTU2938","OTU2945","OTU2951","OTU2968","OTU2981","OTU2987","OTU3019","OTU3025","OTU3029","OTU3094","OTU3104","OTU3114","OTU3155","OTU3168","OTU3193","OTU3194","OTU3201","OTU3213","OTU3261","OTU3304","OTU3324","OTU3355","OTU3378","OTU3385","OTU3387","OTU3424","OTU3429","OTU3431","OTU3432","OTU3472","OTU3474","OTU3479","OTU3510","OTU3513","OTU3537","OTU3544","OTU3545","OTU3559","OTU3579","OTU3591","OTU3608","OTU3612","OTU3645","OTU3648"
0,1,0,0,2,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,5,1,0,17,0,0,0,0,3,0,0,0,0,3,0,0,2,6,0,0,0,0,0,1,0,1,0,2,0,12,0,5,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,0,0,10,0,8,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,3,0,0,25,0,0,0,0,4,2,0,0,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,17,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,2,0,37,0,0,0,0,0,0,0,0,0,25,0,0,1,3,0,0,0,0,0,2,0,0,0,2,0,12,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,0,4,1,0,12,0,0,2,0,23,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,8,0,0,0,0,19,9,0,0,0,1,0,0,0,0,0,0,0,14,0,1,0,0,0,1,0,8,0,7,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,4,0,0,35,0,0,1,14,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,12,0,0,4,0,0,0,0,27,12,0,0,0,6,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,4,0,0,5,0,0,8,0,1,64,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
