"OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae",NA,NA
"OTU2","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum",NA
"OTU3","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU4","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae",NA,NA
"OTU5","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"OTU6","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"OTU7","Fungi",NA,NA,NA,NA,NA,NA
"OTU8","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","Verticillium dahliae"
"OTU9","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU10","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU11","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma aeria"
"OTU12","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Acremonium","Acremonium acutatum",NA
"OTU13","Viridiplantae","Anthophyta","Eudicotyledonae","Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita pepo"
"OTU15","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Cheilymenia","Cheilymenia vitellina"
"OTU16","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora",NA
"OTU17","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus nidulans"
"OTU18","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Myceliophthora",NA
"OTU19","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU20","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU21","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",NA
"OTU22","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU23","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus",NA
"OTU24","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU25","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella elongata"
"OTU26","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","Botryotrichum peruvianum"
"OTU27","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormia","Sporormia subticinensis"
"OTU28","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella",NA
"OTU29","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU30","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Chrysosporium","Chrysosporium lobatum",NA
"OTU31","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU32","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Agrocybe",NA
"OTU33","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU34","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cladorrhinum","Cladorrhinum bulbillosum"
"OTU35","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU36","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola grisea"
"OTU37","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Chordomyces","Chordomyces antarcticus"
"OTU38","Fungi","Ascomycota","Leotiomycetes","Thelebolales",NA,NA,NA
"OTU39","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU40","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU41","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium","Schizothecium inaequale"
"OTU42","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cercophora","Cercophora samala"
"OTU43","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA
"OTU45","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina"
"OTU46","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","Microascus campaniformis"
"OTU47","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","Clonostachys rosea"
"OTU48","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnoascus","Gymnoascus reessii"
"OTU49","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus terreus"
"OTU50","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Acrostalagmus",NA
"OTU51","Fungi","Ascomycota","Pezizomycetes","Pezizales",NA,NA,NA
"OTU52","Fungi",NA,NA,NA,NA,NA,NA
"OTU53","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU54","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Corynesporascaceae","Corynespora","Corynespora cassiicola"
"OTU55","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae",NA,NA
"OTU56","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU57","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium menonorum"
"OTU59","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","Botryotrichum peruvianum"
"OTU60","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Trichosporiella",NA
"OTU61","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU62","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus",NA
"OTU63","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metacordyceps","Metacordyceps chlamydosporia"
"OTU64","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU65","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","Botryotrichum peruvianum"
"OTU66","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Emericellopsis","Emericellopsis glabra",NA
"OTU67","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA
"OTU68","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae",NA,NA
"OTU69","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria parmeliae"
"OTU70","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Neofusicoccum","Neofusicoccum parvum"
"OTU71","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Sarocladium","Sarocladium kiliense",NA
"OTU72","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Minimedusa","Minimedusa polyspora",NA
"OTU73","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU74","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium",NA
"OTU75","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"OTU76","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus osmophilus"
"OTU77","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"OTU78","Fungi","Ascomycota","Pezizomycetes",NA,NA,NA,NA
"OTU79","Fungi",NA,NA,NA,NA,NA,NA
"OTU80","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"OTU81","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta canina"
"OTU82","Fungi","Aphelidiomycota","Aphelidiomycetes",NA,NA,NA,NA
"OTU83","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU84","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",NA
"OTU85","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
