"Key","Year","Site","Block","Point","SampleCode","Code","BlockType","RSFalconTube","BSFalconTube","FarmSite","Date","Initials","ArrivalTime","DepartureTime","ATTemp","DTTemp","PlantID","PlantHeight","TotalFlower","Buds","ImmatureFruit","MatureFruit","LeafNo","RSNitrateRead","RSNitriteRead","BSNitrateRead","BSNitriteRead","RSTinWeight","BSTinWeight","RSWetWeight","BSWetWeight","RSDryWeight","BSDryWeight","BD","FarmKey","orgFarmCode","FarmType","FocalCrop","soilOrder","soilSeries","soilType","Long","Lat","firstPolyYear","conversionYrs","MonoYears","PolyYears","FallowYears","MonoProp","PolyProp","FallowProp","pH","P","K","Ca","Mg","Zn","B","Mn","Cu","Pb","Al","Na","S","CEC","OM","Presence","Absence"
121,2018,"AS","F1","1","AS_F1_1","2018_AS_F1_1","F",9.969,10.034,"AS","6/10/18","GD","5:52","7:26",51.9,"64","eggplant","69","1","2","2","0","109","0","0",0,0,"0.523","0.517","9.836","10.044","9.084","9.377","","AE","AS","Monoculture","Eggplant","entisol","tujunga","loamy sand",-119.6136377,36.5934859,"","",15,0,0,1,0,0,5.53,17.34913793,43.44468391,610.6106322,76.13864943,3.317413793,0.019533046,12.74066092,0.257510776,0.540352011,3.369863506,29.58333333,5.948275862,4.750912175,0.85292829,"1","99"
122,2018,"AS","F1","2","AS_F1_2","2018_AS_F1_2","F",9.868,10.079,"AS","6/10/18","GD","5:52","7:26",51.9,"64","eggplant","67","0","8","2","0","95","0","0",0,0,"0.519","0.518","10.105","10.067","8.843","9.347","","AE","AS","Monoculture","Eggplant","entisol","tujunga","loamy sand",-119.6136377,36.5934859,"","",15,0,0,1,0,0,6.43,26.51851852,44.91111111,611.637037,80.55555556,3.199322222,0.009877778,8.877777778,0.267303704,0.446940741,3.146440741,29.1037037,7.022222222,3.833338801,0.812546416,"7","78"
123,2018,"AS","F1","3","AS_F1_3","2018_AS_F1_3","F",9.931,10.073,"AS","6/10/18","GD","5:52","7:26",51.9,"64","eggplant","66","0","5","2","0","80","0","0",0,0,"0.516","0.51","10.428","10.044","9.059","9.3","","AE","AS","Monoculture","Eggplant","entisol","tujunga","loamy sand",-119.6136377,36.5934859,"","",15,0,0,1,0,0,6.51,29.95689655,47.77658046,642.9454023,78.5308908,3.314145115,0.039525862,7.711925287,0.28297773,0.571181753,2.942895115,28.62428161,7.090517241,3.980613581,0.835670874,"4","79"
124,2018,"AS","F2","1","AS_F2_1","2018_AS_F2_1","F",10.049,10.089,"AS","6/10/18","GD","5:52","7:26",51.9,"64","eggplant","69","3","3","2","1","124","0.5","0",0,0,"0.525","0.513","10.071","10.049","9.302","9.408","","AE","AS","Monoculture","Eggplant","entisol","tujunga","loamy sand",-119.6136377,36.5934859,"","",15,0,0,1,0,0,5.99,23.08238636,47.75568182,605.2414773,78.00071023,3.479776278,0.020550426,12.41477273,0.293018466,0.499325284,2.857080966,27.45028409,6.2890625,3.851694764,0.890670229,"",""
125,2018,"AS","F2","2","AS_F2_2","2018_AS_F2_2","F",10.014,10.059,"AS","6/10/18","GD","5:52","7:26",51.9,"64","eggplant","112","2","3","2","0","113","0","0",0.5,0,"0.529","0.513","10.156","10.049","8.843","9.294","","AE","AS","Monoculture","Eggplant","entisol","tujunga","loamy sand",-119.6136377,36.5934859,"","",15,0,0,1,0,0,6.93,33.46715328,51.93430657,680.310219,85.48540146,3.327346715,0.064445255,9.828467153,0.278532847,0.557405109,2.470576642,28.21167883,7.49270073,4.23507542,0.924088499,"5","71"
126,2018,"AS","F2","3","AS_F2_3","2018_AS_F2_3","F",10.213,10.045,"AS","6/10/18","GD","5:52","7:26",51.9,"64","eggplant","66","5","5","2","3","149","0.5","0",0,0,"0.523","0.517","9.895","10.052","9.095","9.395","","AE","AS","Monoculture","Eggplant","entisol","tujunga","loamy sand",-119.6136377,36.5934859,"","",15,0,0,1,0,0,6.24,24.09024745,51.33187773,654.1957787,78.24599709,4.199417758,0.048511645,10.33478894,0.357288937,0.690917031,3.198289665,33.11863173,6.92139738,4.0436231,0.859803807,"2","96"
127,2018,"AS","N1","1","AS_N1_1","2018_AS_N1_1","N",10.275,10.031,"AS","6/10/18","GD","5:52","7:26",51.9,"64","eggplant","67","0","8","3","1","138","0","0",0,0,"0.522","0.514","9.981","10.061","9.14","9.263","","AE","AS","Monoculture","Eggplant","entisol","tujunga","loamy sand",-119.6136377,36.5934859,"","",15,0,0,1,0,0,5.97,26.75111773,54.64605067,675.5327869,86.33010432,3.673684799,0.077727273,15.39493294,0.295357675,0.587831595,2.94307377,25.2757079,6.594634873,4.225047461,0.951515873,"4","96"
128,2018,"AS","N1","2","AS_N1_2","2018_AS_N1_2","N",10.133,10.035,"AS","6/10/18","GD","5:52","7:26",51.9,"64","eggplant","58","2","11","0","0","105","0","0",0,0,"0.52","0.525","10.12","10.039","9.275","9.273","","AE","AS","Monoculture","Eggplant","entisol","tujunga","loamy sand",-119.6136377,36.5934859,"","",15,0,0,1,0,0,5.88,22.34352256,49.12299854,623.0895197,78.26783115,4.279475983,0.026928675,11.49563319,0.326353712,0.583562591,2.920189229,23.35516739,5.851528384,4.203381465,0.910533911,"0","100"
129,2018,"AS","N1","3","AS_N1_3","2018_AS_N1_3","N",10.05,10.017,"AS","6/10/18","GD","5:52","7:26",51.9,"64","eggplant","57","0","12","0","1","101","0","0",0.5,0,"0.519","0.51","10.112","10.034","9.018","9.355","","AE","AS","Monoculture","Eggplant","entisol","tujunga","loamy sand",-119.6136377,36.5934859,"","",15,0,0,1,0,0,7.23,39.18850073,93.29694323,645.6040757,83.8573508,4.159388646,0.167074236,4.945414847,0.351804949,0.564603348,2.235003639,25.42212518,10.52401747,4.153986821,0.922995392,"0","100"
130,2018,"AS","N2","1","AS_N2_1","2018_AS_N2_1","N",10.25,10.033,"AS","6/10/18","GD","5:52","7:26",51.9,"64","eggplant","76","3","19","0","0","138","0","0",0,0,"0.521","0.515","9.96","10.095","9.229","9.367","","AE","AS","Monoculture","Eggplant","entisol","tujunga","loamy sand",-119.6136377,36.5934859,"","",15,0,0,1,0,0,6.74,35.1010101,69.46608947,706.8470418,84.10894661,4.274891775,0.130198413,9.184704185,0.361067821,0.711381674,2.522900433,43.96825397,12.88239538,4.593695437,0.952865132,"2","98"
