PlantID,CropName,CropGroup,GrowthForm,mycorrhizal,nFixing
BITTERMELON,bittermelon,squash,vegetable,yes,no
CHARD,chard,leafyGreen,leafyGreen,no,no
CHILIPEPPERS,pepper,pepper,vegetable,yes,no
EGGPLANT,eggplant,eggplant,vegetable,yes,no
INDIANBEAN,indianbean,bean,legume,yes,yes
KOMBOCHA,squash,squash,vegetable,yes,no
LOOFA,loofa,squash,vegetable,yes,no
SINQUA,sinqua,squash,vegetable,yes,no
SNAPBEAN,snapbean,bean,legume,yes,yes
TOMATO,tomato,tomato,vegetable,yes,no
basil,basil,herb,leafyGreen,yes,no
bean,bean,bean,legume,yes,no
bittermelon,bittermelon,squash,vegetable,yes,no
chard,chard,leafyGreen,leafyGreen,no,no
chayote,chayote,squash,vegetable,yes,no
corn,corn,corn,grass,yes,no
cucumber,cucumber,cucumber,vegetable,yes,no
eggplant,eggplant,eggplant,vegetable,yes,no
lemongrass,lemongrass,herb,leafyGreen,yes,no
melon,melon,cucumber,vegetable,yes,no
moup,moup,squash,vegetable,yes,no
okra,okra,okra,vegetable,yes,no
pepper,pepper,pepper,vegetable,yes,no
pumpkin,pumpkin,squash,vegetable,yes,no
radish,radish,radish,rootCrop,no,no
sinqua,sinqua,squash,vegetable,yes,no
squash,squash,squash,vegetable,yes,no
tomatoes,tomato,tomato,vegetable,yes,no
zucchini,zucchini,squash,vegetable,yes,no
